Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
弱,jakuジャク,yowa(i)よわ(い),weak; frail,N2
折,"setsu, shakuセツ、シャク","o(ru), oriお(る)、おり","fold, break, fracture",N3
紹,shouショウ,,introduce; inherit; help,N2
草,souソウ,kusaくさ,"grass, weeds, herbs",N3
飲,inイン,no(mu)の(む),drink,N4
雇,koコ,yato(u)やと(う),employ; hire,N2
暮,boボ,ku(rasu)く(らす),"evening, livelihood",N3
替,taiタイ,ka(waru)か(わる),"exchange, spare, substitute",N2
預,yoヨ,azu(keru)あず(ける),deposit; custody; leave with; entrust to,N2
,,,,
焼,shouショウ,ya(ku)や(く),bake; burning,N2
簡,kanカン,era(bu)えら(ぶ),simplicity; brevity,N2
肉,nikuニク,,meat,N4
章,shouショウ,,badge; chapter; composition; poem,N2
臓,zouゾウ,harawataはらわた,entrails; viscera; bowels,N2
律,"ritsu, richiリツ、 リチ",,rhythm; law; regulation; control,N2
貸,taiタイ,"ka(su), kashiか(す)、 かし",lend,N4
贈,zouゾウ,oku(ru)おく(る),presents; send; give to; award to,N2
照,shouショウ,te(ru)て(る),illuminate; shine; compare,N2
酒,shuシュ,"sake, saka-さけ、さか-","sake, alcohol",N3
薄,hakuハク,usu(i)うす(い),dilute; thin; weak (tea),N2
堂,douドウ,,"public chamber, hall",N4
群,gunグン,"mu(reru), mura(garu)む(れる)、 むら(がる)",flock; group; crowd; herd,N2
悲,hiヒ,kana(shii)かな(しい),"grieve, sad",N3
秒,byouビョウ,,second,N2
奥,ouオウ,okuおく,heart; interior,N2
詰,kitsuキツ,tsu(meru)つ(める),packed; close; rebuke; blame,N2
晴,seiセイ,ha(reru)は(れる),clear up,N3
掛,keiケイ,ka(keru)か(ける),"hang, suspend",N3
双,souソウ,futaふた,pair; set; comparison; counter for pairs,N2
刺,shiシ,"sa(su), togeさ(す)、 さし、 とげ","thorn, pierce, stab, prick, sting",N2
到,touトウ,ita(ru)いた(る),"arrival, proceed, reach",N3
寝,shinシン,ne(ru)ね(る),"lie down, sleep, rest",N3
暗,anアン,kura(i)くら(い),"darkness, disappear, shade, informal",N3
鳥,chouチョウ,toriとり,"bird, chicken",N4
純,junジュン,,genuine; purity; innocence,N2
飯,hanハン,meshiめし,"meal, rice",N4
盗,touトウ,nusu(mu)ぬす(む),"steal, rob",N3
吸,kyuuキュウ,su(u)す(う),"suck, inhale",N3
勉,benベン,tsuto(meru)つと(める),"exertion, endeavor, effort",N4
,,,,
翌,yokuヨク,,the following; next,N2
陽,youヨウ,hiひ,"sunshine, positive",N3
快,kaiカイ,kokoroyo(i)こころよ(い),cheerful; pleasant; agreeable; comfortable,N2
片,henヘン,kataかた,one-sided; piece,N2
敬,keiケイ,uyama(u)うやま(う),awe; respect; honor; revere,N2
悩,nouノウ,naya(mu)なや(む),trouble; worry; in pain; distress; illness,N2
泉,senセン,izumiいずみ,spring; fountain,N2
御,"gyo, goギョ、ゴ","on, oおん、お",honorable,N3
冬,touトウ,fuyuふゆ,winter,N4
,,,,
皮,hiヒ,kawaかわ,skin; hide; leather,N2
漁,"gyo, ryouギョ、 リョウ",asa(ru)あさ(る),fishing; fishery,N2
荒,kouコウ,"ara(i), a(reru)あら(い)、あ(れる)",rough; wild,N2
貯,choチョ,ta(meru)た(める),savings; store,N2
硬,kouコウ,kata(i)かた(い),stiff; hard,N2
歯,shiシ,haは,"tooth, cog",N3
埋,maiマイ,u(meru)う(める),bury; be filled up; embedded,N2
昼,chuuチュウ,hiruひる,"daytime, noon",N4
茶,"cha, saチャ、 サ",,tea,N4
柱,chuuチュウ,hashiraはしら,pillar; post; cylinder; support,N2
祭,saiサイ,matsuriまつり,ritual; offer prayers; celebrate,N2
袋,taiタイ,fukuroふくろ,sack; bag; pouch,N2
忘,bouボウ,wasu(reru)わす(れる),forget,N3
雪,setsuセツ,yukiゆき,snow,N3
筆,hitsuヒツ,fudeふで,writing brush; writing; painting brush; handwriting,N2
吹,suiスイ,fu(ku)ふ(く),"blow, breathe, puff",N3
訓,kunクン,"yo(mu), kun(zuru)よ(む)、くん(ずる)","instruction, explanation, read",N2
浴,yokuヨク,a(biru)あ(びる),bathe; be favored with; bask in,N2
童,douドウ,warabeわらべ,juvenile; child,N2
宝,houホウ,takaraたから,treasure; wealth; valuables,N2
封,"fuu, houフウ、 ホウ",,seal; closing,N2
,,,,
胸,kyouキョウ,muneむね,bosom; breast; chest; heart; feelings,N2
娘,jouジョウ,"musume, koむすめ、こ","daughter, girl",N3
砂,"sa, shaサ、 シャ",sunaすな,sand,N2
塩,enエン,shioしお,salt,N2
誤,goゴ,ayama(ru)あやま(る),mistake,N3
賢,kenケン,kashiko(i)かしこ(い),intelligent; wise; wisdom; cleverness,N2
弟,"tei, dai, deテイ、 ダイ、 デ",otoutoおとうと,younger brother,N4
腕,wanワン,udeうで,arm; ability; talent,N2
洗,senセン,ara(u)あら(う),wash,N3
兆,chouチョウ,kiza(su)きざ(す),trillion; sign; omen; symptoms,N2
床,shouショウ,"toko, yukaとこ、 ゆか",bed; counter for beds; floor; padding; tatami,N2
慣,kanカン,na(reru)な(れる),"accustomed, get used to",N3
毛,mouモウ,keけ,fur; hair; feather,N2
緑,"ryoku, rokuリョク、 ロク",midoriみどり,green,N2
尊,sonソン,touto(i)とうと(い),revered; valuable; precious; noble,N2
祝,shukuシュク,iwa(u)いわ(う),celebrate; congratulate,N2
礼,"rei, raiレイ、ライ",,"salute, bow, ceremony, thanks",N3
窓,souソウ,madoまど,"window, pane",N3
柔,"juu, nyuuジュウ、 ニュウ",yawa(rakai)やわ(らかい),tender; weakness; gentleness; softness,N2
昔,"seki, shakuセキ、シャク",mukashiむかし,"once upon a time, old times",N3
殿,denデン,"tono, donoとの、 どの",Mr.; hall; mansion; palace; temple; lord,N2
濃,nouノウ,ko(i)こ(い),concentrated; thick; dark; undiluted,N2
牛,gyuuギュウ,ushiうし,cow,N4
魚,gyoギョ,"uo, sakanaうお、 さかな",fish,N4
液,ekiエキ,,fluid; liquid; juice; sap; secretion,N2
貧,"hin, binヒン、ビン",mazu(shii)まず(しい),"poverty, poor",N3
衣,"i, eイ、 エ","koromo, kinuころも、 きぬ",garment; clothes; dressing,N2
,,,,
肩,kenケン,kataかた,shoulder,N2
零,reiレイ,zeroぜろ,zero; spill; overflow; nothing,N2
兄,"kyou, keiキョウ、 ケイ",aniあに,elder brother,N4
,,,,
怒,doド,"ika(ru), oko(ru)いか(る)、 おこ(る)","angry, be offended",N3
泳,eiエイ,oyo(gu)およ(ぐ),swim,N3
祖,soソ,,"ancestor, pioneer, founder",N3
幼,youヨウ,osana(i)おさな(い),infancy; childhood,N2
荷,kaカ,niに,baggage; load; cargo; freight,N2
泊,hakuハク,to(maru)と(まる),overnight stay,N2
杯,haiハイ,sakazukiさかずき,"glass, cup",N3
黄,"kou, ouコウ、 オウ",kiき,yellow,N2
甘,kanカン,ama(i)あま(い),sweet; coax; pamper; sugary,N2
臣,"shin, jinシン、 ジン",,retainer; subject,N2
浅,senセン,asa(i)あさ(い),shallow; superficial; frivolous,N2
掃,souソウ,ha(ku)は(く),sweep; brush,N2
雲,unウン,kumoくも,cloud,N2
掘,kutsuクツ,ho(ru)ほ(る),dig; delve; excavate,N2
疲,hiヒ,tsuka(reru)つか(れる),"exhausted, tire",N3
捨,shaシャ,su(teru)す(てる),discard; throw away; abandon,N2
皆,kaiカイ,"mina, minnaみな、 みんな","all, everyone, everybody",N3
軟,nanナン,yawa(rakai)やわ(らかい),soft,N2
沈,"chin, jinチン、 ジン",shizu(mu)しず(む),sink; be submerged; subside; be depressed,N2
鳴,meiメイ,"na(ku), na(ru)な(く)、な(る)","chirp, cry, bark",N3
凍,touトウ,"koo(ru), kogo(eru)こお(る)、 こご(える)",frozen; refrigerate,N2
腹,fukuフク,haraはら,"abdomen, belly, stomach",N3
乳,nyuuニュウ,"chichi, chiちち、ち","milk, breasts",N2
煙,enエン,"kemu(ru), kemuriけむ(る)、けむり",smoke,N3
恋,renレン,koi(shii)こい(しい),romance; in love; yearn for; miss,N2
紅,"kou, kuコウ、 ク","beni, kurenaiべに、 くれない",crimson; deep red,N2
郊,kouコウ,,"outskirts, suburbs, rural area",N2
腰,youヨウ,koshiこし,loins; hips; waist,N2
炭,tanタン,sumiすみ,charcoal; coal,N2
踊,youヨウ,odo(ru)おど(る),jump; dance; leap; skip,N2
,,,,
冊,satsuサツ,,counter for books; volume,N2
眠,minミン,nemu(ru)ねむ(る),sleep,N3
勇,yuuユウ,isa(mu)いさ(む),courage; cheer up; bravery; heroism,N2
械,kaiカイ,,contraption; machine; instrument,N2
憶,okuオク,,"recollection, think, remember",N1
怖,fuフ,"kowa(i), o(jiru)こわ(い)、お(じる)","dreadful, fearful",N3
犬,kenケン,inuいぬ,dog,N4
菜,saiサイ,naな,vegetable; side dish; greens,N2
耳,jiジ,mimiみみ,ear,N3
珍,chinチン,mezura(shii)めずら(しい),rare; curious; strange,N2
卵,ranラン,tamagoたまご,egg,N2
湖,koコ,mizuumiみずうみ,lake,N2
喫,kitsuキツ,no(mu)の(む),"consume, eat, drink, smoke, receive",N2
干,kanカン,"ho(su), hi(ru)ほ(す)、 ひ(る)",dry; parch,N2
頂,chouチョウ,itada(ku)いただ(く),"receive, top, summit, peak",N3
虫,"chuu, kiチュウ、 キ",mushiむし,insect; bug,N2
刷,satsuサツ,"su(ru), ha(ku)す(る)、 は(く)",printing; print; brush,N2
湯,touトウ,yuゆ,hot water; bath; hot spring,N2
箱,souソウ,hakoはこ,"box, chest",N3
溶,youヨウ,to(keru)と(ける),melt; dissolve; thaw,N2
鉱,kouコウ,araganeあらがね,mineral; ore,N2
涙,ruiルイ,namidaなみだ,tears; sympathy,N2
匹,hitsuヒツ,hikiひき,counter for small animals,N2
孫,sonソン,magoまご,grandchild; descendants,N2
鋭,eiエイ,surudo(i)するど(い),pointed; sharpness; edge; weapon; sharp; violent,N2
枝,shiシ,edaえだ,bough; branch; twig; limb; counter for branches,N2
塗,toト,"nu(ru), nu(ri)ぬ(る)、 ぬ(り)",paint; smear; coating,N2
