Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
道,douドウ,michiみち,"road-way, street, district, journey, course",N4
信,shinシン,,"faith, truth, trust",N3
策,sakuサク,,"scheme, plan, policy",N2
,,,,
集,shuuシュウ,atsu(meru)あつ(める),"gather, meet",N4
在,zaiザイ,a(ru)あ(る),"exist, outskirts",N3
件,kenケン,kudanくだん,"affair, case, matter",N3
団,"dan, tonダン、トン","katamari, maru(i)かたまり、 まる(い)","group, association",N2
別,betsuベツ,"waka(reru), wa(keru)わか(れる)、 わ(ける)","separate, branch off, diverge",N4
物,"butsu, motsuブツ、 モツ",monoもの,"thing, object, matter",N4
側,sokuソク,"gawa, sobaがわ、そば","side, lean, oppose",N3
任,ninニン,maka(seru)まか(せる),"responsibility, duty",N3
引,inイン,hi(ku)ひ(く),"pull, tug, jerk",N3
使,shiシ,tsuka(u)つか(う),"use, order, messenger, ambassador",N4
求,kyuuキュウ,moto(meru)もと(める),"request, want, demand",N3
所,shoショ,tokoroところ,"place, extent",N3
次,"ji, shiジ、シ","tsu(gu), tsugiつ(ぐ)、つぎ","next, order",N3
水,suiスイ,mizuみず,water,N5
半,hanハン,naka(ba)なか(ば),"half, middle, odd number, semi-",N5
品,hinヒン,shinaしな,"goods, refinement, dignity, article",N4
昨,sakuサク,,"yesterday, previous",N3
論,ronロン,agetsura(u)あげつら(う),"argument, discourse",N3
計,keiケイ,haka(ru)はか(る),"plot, plan, scheme, measure",N4
死,shiシ,shi(nu)し(ぬ),"death, die",N4
官,kanカン,,"bureaucrat, the government, organ",N3
増,zouゾウ,"ma(su), fu(eru)ま(す)、 ふ(える)","increase, add",N3
係,keiケイ,"kaka(ru), kakariかか(る)、かかり","person in charge, connection",N3
感,kanカン,,"emotion, feeling, sensation",N3
特,tokuトク,,special,N4
情,"jou, seiジョウ、セイ",nasa(ke)なさ(け),"feelings, emotion, passion",N3
投,touトウ,na(geru)な(げる),"throw, discard",N3
示,"ji, shiジ、シ",shime(su)しめ(す),"show, indicate, display",N3
変,henヘン,ka(waru)か(わる),"unusual, change, strange",N3
打,daダ,"u(tsu), bu(tsu)う(つ)、ぶ(つ)","strike, hit, knock",N3
,,,,
男,"dan, nanダン、 ナン","otoko, oおとこ、 お",male; man,N5
基,kiキ,"moto, motoiもと、 もとい","fundamentals, counter for machines, foundation",N1
私,shiシ,"watakushi, watashiわたくし、 わたし","private, I, me",N4
各,kakuカク,onoonoおのおの,each; every; either,N2
始,shiシ,haji(meru)はじ(める),"commence, begin",N4
島,touトウ,shimaしま,island,N2
直,"choku, jikiチョク、 ジキ","tada(chini), su(gu)ただ(ちに)、 す(ぐ)","straightaway, honesty, frankness, fix, repair",N3
両,ryouリョウ,,both,N3
朝,chouチョウ,asaあさ,morning,N4
,,,,
革,kakuカク,kawaかわ,leather; skin; reform; become serious,N2
価,kaカ,ataiあたい,"value, price",N1
式,shikiシキ,,"style, ceremony",N3
確,kakuカク,tashi(ka)たし(か),"assurance, firm, confirm",N3
村,sonソン,muraむら,village; town,N2
提,teiテイ,sa(geru)さ(げる),"propose, take along, carry in hand",N1
運,unウン,hako(bu)はこ(ぶ),"carry, luck, destiny, fate, transport",N4
終,shuuシュウ,o(waru)お(わる),"end, finish",N4
挙,kyoキョ,"a(geru), kozo(ru)あ(げる)、 こぞ(る)","raise, plan, project, behavior, actions",N1
果,kaカ,ha(tasu)は(たす),"fruit, reward, carry out, achieve, complete",N3
西,"sei, saiセイ、 サイ",nishiにし,west,N5
勢,seiセイ,ikio(i)いきお(い),forces; energy; military strength,N2
減,genゲン,he(ru)へ(る),dwindle; decrease; reduce,N2
台,"dai, taiダイ、 タイ",utenaうてな,"pedestal, a stand, counter for machines and vehicles",N4
広,kouコウ,hiro(i)ひろ(い),"wide, broad, spacious",N4
容,youヨウ,,"contain, form",N3
