Unnamed: 0,Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
115,持,jiジ,mo(tsu)も(つ),"hold, have",N4
116,野,yaヤ,noの,"plains, field, rustic, civilian life",N4
118,取,shuシュ,to(ru)と(る),"take, fetch",N3
119,都,"to, tsuト、ツ",miyakoみやこ,"metropolis, capital",N3
120,和,"wa, oワ、オ","yawa(ragu), nago(mu)やわ(らぐ)、なご(む)","harmony, Japanese style, peace",N3
121,統,touトウ,su(beru)す(べる),"ruling, governing",N1
122,以,iイ,mo(tte)もっ(て),"by means of, because, in view of, compared with",N4
123,機,kiキ,hataはた,"machine, airplane, opportunity",N3
124,平,"hei, byouヘイ、ビョウ","tai(ra), hiraたい(ら)、ひら","even, flat, peace",N3
125,総,souソウ,"sube(te), fusaすべ(て)、 ふさ","general, whole, all",N2
126,加,kaカ,kuwa(eru)くわ(える),"add, addition, increase, join",N3
127,山,"san, senサン、 セン",yamaやま,mountain,N5
128,思,shiシ,omo(u)おも(う),think,N4
129,家,kaカ,"ie, ya, uchiいえ、 や、 うち","house, home, family, professional, expert",N4
130,話,waワ,"hana(su), hanashiはな(す)、 はなし","tale, talk",N5
131,世,"sei, seセイ、 セ",yoよ,"generation, world, society, public",N4
132,受,juジュ,u(keru)う(ける),"accept, undergo, answer (phone), take",N3
133,区,kuク,,"ward, district",N2
135,多,taタ,oo(i)おお(い),"many, frequent, much",N4
136,県,kenケン,ka(keru)か(ける),prefecture,N2
137,続,zokuゾク,tsuzukuつづ(く),"continue, series, sequel",N3
138,進,shinシン,susu(mu)すす(む),"advance, proceed",N3
139,正,"sei, shouセイ、 ショウ","tada(shii), masa(ni)ただ(しい)、 まさ(に)","correct, justice, righteous",N4
140,安,anアン,yasu(i)やす(い),"safe, peaceful, cheap",N4
141,設,setsuセツ,mou(keru)もう(ける),"establishment, provision",N2
142,保,"ho, houホ、ホウ",tamo(tsu)たも(つ),"protect, guarantee, keep",N2
143,改,kaiカイ,arata(meru)あらた(める),"reformation, change, modify",N2
144,数,suuスウ,"kazu, kazo(eru)かず、 かぞ(える)","number, strength, fate, law, figures",N3
145,記,kiキ,shiru(su)しる(す),"scribe, account, narrative",N3
146,院,inイン,,"institution, temple, mansion, school",N4
147,女,joジョ,"onnna, meおんな、 め","woman, female",N5
148,初,shoショ,"haji(me), hatsuはじ(め)、はつ","first time, beginning",N3
149,北,hokuホク,kitaきた,north,N5
150,午,goゴ,umaうま,"noon, sign of the horse",N5
151,指,shiシ,"yubi, sa(su)ゆび、さ(す)","finger, point to, indicate",N3
152,権,kenケン,,"authority, power, rights",N3
153,心,shinシン,kokoroこころ,"heart, mind, spirit",N4
154,界,kaiカイ,,"world, boundary",N4
155,支,shiシ,sasa(eru)ささ(える),"branch, support, sustain",N3
156,第,daiダイ,,"No., number",N2
157,結,ketsuケツ,"musu(bu), yu(u)むす(ぶ)、ゆ(う)","tie, bind, contract",N2
158,百,"hyaku, byakuヒャク、 ビャク",momoもも,hundred,N5
159,派,haハ,,"faction, group, party",N2
160,点,tenテン,tsu(keru)つ(ける),"spot, point, mark",N3
161,教,kyouキョウ,"oshi(eru), oso(waru)おし(える)、 おそ(わる)","teach, faith, doctrine",N4
162,報,houホウ,mukku(iru)むく(いる),"report, news, reward",N3
163,済,"sai, seiサイ、セイ",su(mu)す(む),"settle, relieve, finish",N3
164,書,shoショ,kakuか(く),write,N5
165,府,fuフ,,"borough, urban prefecture, govt office",N2
166,活,katsuカツ,,living,N3
167,原,genゲン,haraはら,"original, primitive, field",N3
168,先,senセン,"saki, ma(zu)さき、 ま(ず)","before, ahead, previous, future, precedence",N5
169,共,kyouキョウ,tomoとも,"together, both, neither",N3
170,得,tokuトク,e(ru)え(る),"gain, get, find, earn, acquire, can, may, able to, profit",N3
171,解,"kai, geカイ、ゲ","to(ku), hodo(ku)と(く)、ほど(く)","unravel, explanation",N3
172,名,"mei, myouメイ、 ミョウ",naな,"name, noted, distinguished, reputation",N5
173,交,kouコウ,"maji(waru), ma(zeru), ka(wasu)まじ(わる)、 ま(ぜる)、 か(わす)","mingle, mixing, association, coming & going",N3
174,資,shiシ,,"assets, resources, capital, funds, data, be conducive to",N3
175,,,,,
176,予,"yo, shaヨ、 シャ",arakaji(me)あらかじ(め),"beforehand, previous, myself, I",N3
177,川,senセン,kawaかわ,"river, stream",N5
178,向,kouコウ,"mu(ku), muka(i)む(く)、むか(い)","facing, beyond",N3
179,際,saiサイ,kiwaきわ,"occasion, time",N3
180,査,saサ,,investigate,N2
181,勝,shouショウ,"ka(tsu), masa(ru)か(つ)、 まさ(る)","victory, win",N3
182,面,menメン,"omo, omote, tsuraおも、おもて、つら","mask, face, features, surface",N3
184,告,kokuコク,tsu(geru)つ(げる),"revelation, inform",N3
185,軍,gunグン,ikusaいくさ,"army, force, troops",N2
186,文,"bun, monブン、 モン",fumiふみ,"sentence, literature, style, art",N4
